,Unnamed: 0,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years
217,217,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years
218,218,False,False,True,False,False,False,False,False,False,False,False,False,True,Female,51-55,11 to 20 Years
219,219,False,False,False,False,False,False,False,False,True,False,False,True,False,Female,56+,11 to 20 Years
220,220,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,1 to 2 Years
221,221,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,20 Plus Years
222,222,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,1 to 2 Years
223,223,False,False,False,False,True,False,True,False,False,True,False,False,False,Male,51-55,5 to 6 Years
224,224,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36-40,3 to 4 Years
225,225,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
226,226,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,26-30,1 to 2 Years
227,227,False,False,False,False,True,False,False,False,False,False,False,True,False,Male,46-50,3 to 4 Years
228,228,False,False,False,True,False,False,False,False,False,False,False,True,False,Male,56+,Under 1 Year
229,229,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,56+,Under 1 Year
230,230,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,Under 1 Year
231,231,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,7 to 10 Years
232,232,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,7 to 10 Years
233,233,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,46-50,11 to 20 Years
234,234,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
235,235,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,3 to 4 Years
236,236,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,20 Plus Years
237,237,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years
238,238,False,True,False,False,False,False,False,False,False,False,False,True,False,Male,51-55,7 to 10 Years
239,239,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
240,240,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
241,241,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
242,242,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,51-55,11 to 20 Years
243,243,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years
244,244,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,
245,245,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
246,246,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,20 Plus Years
247,247,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,5 to 6 Years
248,248,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31-35,1 to 2 Years
249,249,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,Under 1 Year
250,250,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,7 to 10 Years
251,251,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,3 to 4 Years
252,252,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56+,1 to 2 Years
253,253,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,51-55,11 to 20 Years
254,254,False,True,False,True,False,False,False,False,False,False,False,True,False,Female,31-35,Under 1 Year
255,255,False,True,False,False,False,False,False,False,False,True,False,False,False,Female,46-50,Under 1 Year
256,256,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,7 to 10 Years
